"YY","GEAR_CODE","FLAG_CODE","FLEET_CODE","SP_CODE","SP_NAME","SP_MT"
"2019","O","JP",,"SKJ","SKIPJACK TUNA","356"
"2019","O","JP",,"YFT","YELLOWFIN TUNA","986"
"2019","O","JP",,"PBF","PACIFIC BLUEFIN TUNA","1313"
"2019","O","JP",,"MLS","STRIPED MARLIN","129"
"2019","O","JP",,"SWO","SWORDFISH","554"
"2020","O","JP",,"ALB","ALBACORE","184"
"2020","O","JP",,"BET","BIGEYE TUNA","113"
"2020","O","JP",,"SKJ","SKIPJACK TUNA","356"
"2020","O","JP",,"YFT","YELLOWFIN TUNA","986"
"2020","O","JP",,"PBF","PACIFIC BLUEFIN TUNA","1736"
"2020","O","JP",,"MLS","STRIPED MARLIN","94"
"2020","O","JP",,"SWO","SWORDFISH","490"
"2021","O","JP",,"ALB","ALBACORE","243"
"2021","O","JP",,"BET","BIGEYE TUNA","84"
"2021","O","JP",,"SKJ","SKIPJACK TUNA","728"
"2021","O","JP",,"YFT","YELLOWFIN TUNA","973"
"2021","O","JP",,"PBF","PACIFIC BLUEFIN TUNA","2182"
"2021","O","JP",,"MLS","STRIPED MARLIN","108"
"2021","O","JP",,"SWO","SWORDFISH","525"
"2022","O","JP",,"ALB","ALBACORE","243"
"2022","O","JP",,"BET","BIGEYE TUNA","84"
"2022","O","JP",,"SKJ","SKIPJACK TUNA","728"
"2022","O","JP",,"YFT","YELLOWFIN TUNA","973"
"2022","O","JP",,"PBF","PACIFIC BLUEFIN TUNA","2731"
"2022","O","JP",,"MLS","STRIPED MARLIN","108"
"2022","O","JP",,"SWO","SWORDFISH","525"
"2023","O","KI",,"SKJ","SKIPJACK TUNA","2190"
"2023","O","KI",,"YFT","YELLOWFIN TUNA","2169"
"1980","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1981","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1982","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1983","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1984","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1985","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1986","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1987","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1988","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1989","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1990","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1991","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1992","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1993","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1994","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1995","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1996","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1997","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1998","O","KI",,"YFT","YELLOWFIN TUNA","1812"
"1999","O","KI",,"SKJ","SKIPJACK TUNA","2790"
"1999","O","KI",,"YFT","YELLOWFIN TUNA","930"
"2000","O","KI",,"SKJ","SKIPJACK TUNA","5850"
"2000","O","KI",,"YFT","YELLOWFIN TUNA","3900"
"2001","O","KI",,"SKJ","SKIPJACK TUNA","530"
"2001","O","KI",,"YFT","YELLOWFIN TUNA","250"
"2002","O","KI",,"SKJ","SKIPJACK TUNA","2520"
"2002","O","KI",,"YFT","YELLOWFIN TUNA","2050"
"2003","O","KI",,"SKJ","SKIPJACK TUNA","940"
"2003","O","KI",,"YFT","YELLOWFIN TUNA","1120"
"2004","O","KI",,"SKJ","SKIPJACK TUNA","940"
"2004","O","KI",,"YFT","YELLOWFIN TUNA","1120"
"2005","O","KI",,"SKJ","SKIPJACK TUNA","940"
"2005","O","KI",,"YFT","YELLOWFIN TUNA","1120"
"2006","O","KI",,"SKJ","SKIPJACK TUNA","940"
"2006","O","KI",,"YFT","YELLOWFIN TUNA","1120"
"2007","O","KI",,"SKJ","SKIPJACK TUNA","8223"
"2007","O","KI",,"YFT","YELLOWFIN TUNA","4347"
"2008","O","KI",,"SKJ","SKIPJACK TUNA","8238"
"2008","O","KI",,"YFT","YELLOWFIN TUNA","4329"
"2009","O","KI",,"SKJ","SKIPJACK TUNA","8438"
"2009","O","KI",,"YFT","YELLOWFIN TUNA","4529"
"2010","O","KI",,"SKJ","SKIPJACK TUNA","8438"
"2010","O","KI",,"YFT","YELLOWFIN TUNA","4529"
"2011","O","KI",,"SKJ","SKIPJACK TUNA","8238"
"2011","O","KI",,"YFT","YELLOWFIN TUNA","4329"
